concentration,Gl SET 1,Gl SET 2,Gl SET 3
0,49171.0,49465.0,49284.0
1,48983.3,49303.3,49122.4
2,48795.6,49141.6,48960.8
3,48607.9,48979.9,48799.2
4,48420.2,48818.2,48637.6
5,48232.5,48656.5,48476.0
6,48044.8,48494.8,48314.4
7,47857.1,48333.1,48152.8
8,47669.4,48171.4,47991.2
9,47481.7,48009.7,47829.6
10,47294.0,47848.0,47668.0
11,47217.7,47745.1,47561.0
12,47141.4,47642.2,47454.0
13,47065.1,47539.3,47347.0
14,46988.8,47436.4,47240.0
15,46912.5,47333.5,47133.0
16,46836.2,47230.6,47026.0
17,46759.9,47127.7,46919.0
18,46683.6,47024.8,46812.0
19,46607.3,46921.9,46705.0
20,46531.0,46819.0,46598.0
21,46344.3,46594.1,46418.0
22,46157.6,46369.2,46238.0
23,45970.9,46144.3,46058.0
24,45784.2,45919.4,45878.0
25,45597.5,45694.5,45698.0
26,45410.8,45469.6,45518.0
27,45224.1,45244.7,45338.0
28,45037.4,45019.8,45158.0
29,44850.7,44794.9,44978.0
30,44664.0,44570.0,44798.0
31,44551.9,44453.5,44650.1
32,44439.8,44337.0,44502.2
33,44327.7,44220.5,44354.3
34,44215.6,44104.0,44206.4
35,44103.5,43987.5,44058.5
36,43991.4,43871.0,43910.6
37,43879.3,43754.5,43762.7
38,43767.2,43638.0,43614.8
39,43655.1,43521.5,43466.9
40,43543.0,43405.0,43319.0
41,43381.3,43257.8,43141.3
42,43219.6,43110.6,42963.6
43,43057.9,42963.4,42785.9
44,42896.2,42816.2,42608.2
45,42734.5,42669.0,42430.5
46,42572.8,42521.8,42252.8
47,42411.1,42374.6,42075.1
48,42249.4,42227.4,41897.4
49,42087.7,42080.2,41719.7
50,41926.0,41933.0,41542.0
51,41791.7,41764.0,41396.1
52,41657.4,41595.0,41250.2
53,41523.1,41426.0,41104.3
54,41388.8,41257.0,40958.4
55,41254.5,41088.0,40812.5
56,41120.2,40919.0,40666.6
57,40985.9,40750.0,40520.7
58,40851.6,40581.0,40374.8
59,40717.3,40412.0,40228.9
60,40583.0,40243.0,40083.0
61,40440.2,40111.0,39932.9
62,40297.4,39979.0,39782.8
63,40154.6,39847.0,39632.7
64,40011.8,39715.0,39482.6
65,39869.0,39583.0,39332.5
66,39726.2,39451.0,39182.4
67,39583.4,39319.0,39032.3
68,39440.6,39187.0,38882.2
69,39297.8,39055.0,38732.1
70,39155.0,38923.0,38582.0
71,38982.7,38800.6,38437.8
72,38810.4,38678.2,38293.6
73,38638.1,38555.8,38149.4
74,38465.8,38433.4,38005.2
75,38293.5,38311.0,37861.0
76,38121.2,38188.6,37716.8
77,37948.9,38066.2,37572.6
78,37776.6,37943.8,37428.4
79,37604.3,37821.4,37284.2
80,37432.0,37699.0,37140.0
81,37322.5,37602.8,37041.8
82,37213.0,37506.6,36943.6
83,37103.5,37410.4,36845.4
84,36994.0,37314.2,36747.2
85,36884.5,37218.0,36649.0
86,36775.0,37121.8,36550.8
87,36665.5,37025.6,36452.6
88,36556.0,36929.4,36354.4
89,36446.5,36833.2,36256.2
90,36337.0,36737.0,36158.0
91,36185.9,36624.4,36066.9
92,36034.8,36511.8,35975.8
93,35883.7,36399.2,35884.7
94,35732.6,36286.6,35793.6
95,35581.5,36174.0,35702.5
96,35430.4,36061.4,35611.4
97,35279.3,35948.8,35520.3
98,35128.2,35836.2,35429.2
99,34977.1,35723.6,35338.1
100,34826.0,35611.0,35247.0
101,34730.32,35502.4,35137.0
102,34634.64,35393.8,35027.0
103,34538.96,35285.2,34917.0
104,34443.28,35176.6,34807.0
105,34347.6,35068.0,34697.0
106,34251.92,34959.4,34587.0
107,34156.24,34850.8,34477.0
108,34060.56,34742.2,34367.0
109,33964.88,34633.6,34257.0
110,33869.2,34525.0,34147.0
111,33773.52,34416.4,34037.0
112,33677.84,34307.8,33927.0
113,33582.16,34199.2,33817.0
114,33486.48,34090.6,33707.0
115,33390.8,33982.0,33597.0
116,33295.12,33873.4,33487.0
117,33199.44,33764.8,33377.0
118,33103.76,33656.2,33267.0
119,33008.08,33547.6,33157.0
120,32912.4,33439.0,33047.0
121,32816.72,33330.4,32937.0
122,32721.04,33221.8,32827.0
123,32625.36,33113.2,32717.0
124,32529.68,33004.6,32607.0
125,32434.0,32896.0,32497.0
126,32338.32,32787.4,32387.0
127,32242.64,32678.8,32277.0
128,32146.96,32570.2,32167.0
129,32051.28,32461.6,32057.0
130,31955.6,32353.0,31947.0
131,31859.92,32244.4,31837.0
132,31764.239999999998,32135.8,31727.0
133,31668.56,32027.2,31617.0
134,31572.88,31918.6,31507.0
135,31477.2,31810.0,31397.0
136,31381.52,31701.4,31287.0
137,31285.84,31592.8,31177.0
138,31190.16,31484.2,31067.0
139,31094.48,31375.6,30957.0
140,30998.8,31267.0,30847.0
141,30903.12,31158.4,30737.0
142,30807.44,31049.8,30627.0
143,30711.76,30941.2,30517.0
144,30616.08,30832.6,30407.0
145,30520.4,30724.0,30297.0
146,30424.72,30615.4,30187.0
147,30329.04,30506.8,30077.0
148,30233.36,30398.2,29967.0
149,30137.68,30289.6,29857.0
150,30042.0,30181.0,29747.0
151,29955.64,30085.44,29660.2
152,29869.28,29989.88,29573.4
153,29782.92,29894.32,29486.6
154,29696.56,29798.76,29399.8
155,29610.2,29703.2,29313.0
156,29523.84,29607.64,29226.2
157,29437.48,29512.08,29139.4
158,29351.12,29416.52,29052.6
159,29264.76,29320.96,28965.8
160,29178.4,29225.4,28879.0
161,29092.04,29129.84,28792.2
162,29005.68,29034.28,28705.4
163,28919.32,28938.72,28618.6
164,28832.96,28843.16,28531.8
165,28746.6,28747.6,28445.0
166,28660.24,28652.04,28358.2
167,28573.88,28556.48,28271.4
168,28487.52,28460.92,28184.6
169,28401.16,28365.36,28097.8
170,28314.8,28269.8,28011.0
171,28228.44,28174.24,27924.2
172,28142.08,28078.68,27837.4
173,28055.72,27983.12,27750.6
174,27969.36,27887.56,27663.8
175,27883.0,27792.0,27577.0
176,27796.64,27696.44,27490.2
177,27710.28,27600.88,27403.4
178,27623.92,27505.32,27316.6
179,27537.56,27409.76,27229.8
180,27451.2,27314.2,27143.0
181,27364.84,27218.64,27056.2
182,27278.48,27123.08,26969.4
183,27192.12,27027.52,26882.6
184,27105.760000000002,26931.96,26795.8
185,27019.4,26836.4,26709.0
186,26933.04,26740.84,26622.2
187,26846.68,26645.28,26535.4
188,26760.32,26549.72,26448.6
189,26673.96,26454.16,26361.8
190,26587.6,26358.6,26275.0
191,26501.24,26263.04,26188.2
192,26414.88,26167.48,26101.4
193,26328.52,26071.92,26014.6
194,26242.16,25976.36,25927.8
195,26155.8,25880.8,25841.0
196,26069.44,25785.239999999998,25754.2
197,25983.08,25689.68,25667.4
198,25896.72,25594.12,25580.6
199,25810.36,25498.559999999998,25493.8
200,25724.0,25403.0,25407.0
201,25664.18,25347.32,25344.92
202,25604.36,25291.64,25282.84
203,25544.54,25235.96,25220.76
204,25484.72,25180.28,25158.68
205,25424.9,25124.6,25096.6
206,25365.08,25068.92,25034.52
207,25305.26,25013.24,24972.44
208,25245.44,24957.56,24910.36
209,25185.62,24901.88,24848.28
210,25125.8,24846.2,24786.2
211,25065.98,24790.52,24724.12
212,25006.16,24734.84,24662.04
213,24946.34,24679.16,24599.96
214,24886.52,24623.48,24537.88
215,24826.7,24567.8,24475.8
216,24766.88,24512.12,24413.72
217,24707.06,24456.44,24351.64
218,24647.24,24400.76,24289.56
219,24587.42,24345.08,24227.48
220,24527.6,24289.4,24165.4
221,24467.78,24233.72,24103.32
222,24407.96,24178.04,24041.24
223,24348.14,24122.36,23979.16
224,24288.32,24066.68,23917.08
225,24228.5,24011.0,23855.0
226,24168.68,23955.32,23792.92
227,24108.86,23899.64,23730.84
228,24049.04,23843.96,23668.76
229,23989.22,23788.28,23606.68
230,23929.4,23732.6,23544.6
231,23869.58,23676.92,23482.52
232,23809.76,23621.24,23420.44
233,23749.94,23565.56,23358.36
234,23690.12,23509.88,23296.28
235,23630.3,23454.2,23234.2
236,23570.48,23398.52,23172.12
237,23510.66,23342.84,23110.04
238,23450.84,23287.16,23047.96
239,23391.02,23231.48,22985.88
240,23331.2,23175.8,22923.8
241,23271.38,23120.12,22861.72
242,23211.56,23064.44,22799.64
243,23151.739999999998,23008.760000000002,22737.56
244,23091.92,22953.08,22675.48
245,23032.1,22897.4,22613.4
246,22972.28,22841.72,22551.32
247,22912.46,22786.04,22489.24
248,22852.64,22730.36,22427.16
249,22792.82,22674.68,22365.08
250,22733.0,22619.0,22303.0
251,22660.32,22555.76,22251.38
252,22587.64,22492.52,22199.76
253,22514.96,22429.28,22148.14
254,22442.28,22366.04,22096.52
255,22369.6,22302.8,22044.9
256,22296.92,22239.56,21993.28
257,22224.24,22176.32,21941.66
258,22151.56,22113.08,21890.04
259,22078.88,22049.84,21838.42
260,22006.2,21986.6,21786.8
261,21933.52,21923.36,21735.18
262,21860.84,21860.12,21683.56
263,21788.16,21796.88,21631.94
264,21715.48,21733.64,21580.32
265,21642.8,21670.4,21528.7
266,21570.12,21607.16,21477.08
267,21497.44,21543.92,21425.46
